Program_Code,Program_Name,Major,Degree
5288,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil Engineering and M.Tech. in Environmental Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
5215,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil Engineering with any of the listed specialization,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
410A,"Computational Engineering (4 Years, Bachelor of Technology)",Computational Engineering,"(4 Years, Bachelor of Technology)"
4110,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,"(4 Years, Bachelor of Technology)"
5216,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Computer Science and Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4181,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",Data Science and Artificial Intelligence,"(4 Years, Bachelor of Technology)"
4187,"Data Science and Engineering (4 Years, Bachelor of Technology)",Data Science and Engineering,"(4 Years, Bachelor of Technology)"
4205,"Earth Sciences (4 Years, Bachelor of Science)",Earth Sciences,"(4 Years, Bachelor of Science)"
4202,"Economics (4 Years, Bachelor of Science)",Economics,"(4 Years, Bachelor of Science)"
5608,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Economics,"(5 Years, Bachelor of Science and Master of Science (Dual Degree))"
4144,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Electrical and Electronics Engineering,"(4 Years, Bachelor of Technology)"
4111,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,"(4 Years, Bachelor of Technology)"
5217,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
410T,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",Electrical Engineering (IC Design and Technology),"(4 Years, Bachelor of Technology)"
4112,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Electrical Engineering (Power and Automation),"(4 Years, Bachelor of Technology)"
5255,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical Engineering and M.Tech Power Electronics and Drives,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
5222,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical Engineering with M.Tech. in any of the listed specializations,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
5223,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical Engineering with M.Tech. in Power Electronics,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
