Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
107,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",7439,10790,12070,15406,4015,4531,6669,6669,2692,2919,3194,3194,1449,1592,1364,1364,31.9,65
107,"Biomedical Engineering (4 Years, Bachelor of Technology)",7683,11317,8099,15317,3037,4236,6462,7260,2123,2758,3242,3242,1593,1615,1367,1367,26.9,98
107,"Industrial Chemistry (4 Years, Bachelor of Technology)",10088,11659,16449,16453,3695,4779,6947,6947,2582,2753,3601,3601,1581,1611,1432,1432,25.7,76
108,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1676,2456,4381,6088,864,1411,2213,2661,517,745,1178,1490,304,415,911,911,33.8,61
108,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",2701,3694,3563,8434,1515,2070,3284,3489,1102,1268,1979,2251,704,793,1230,1230,28.6,77
108,"Electrical Engineering (4 Years, Bachelor of Technology)",4408,7258,9230,11319,2770,3319,4125,5394,1758,2236,2917,2992,573,1084,1486,1486,27.6,79
108,"Mechanical Engineering (4 Years, Bachelor of Technology)",8142,10562,16481,18682,3504,4391,7426,8215,2348,2651,3048,4184,1181,1258,1761,1761,29.2,75
108,"Chemical Engineering (4 Years, Bachelor of Technology)",9131,12964,16276,18423,4545,5065,8660,8764,2444,2856,3613,3670,1198,1321,217,217,24.1,97
108,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",10937,14696,18522,21702,4541,5423,6208,8266,2727,2896,3881,4018,1065,1261,1595,1595,20.7,75
108,"Materials Engineering (4 Years, Bachelor of Technology)",13628,15911,19392,22222,5456,6332,9247,9247,3093,3573,4366,4783,1571,1681,627,627,28.7,82
108,"Physics with Specialization (4 Years, Bachelor of Science)",10755,16021,20836,23387,5849,6380,8833,8833,3415,3549,4993,4993,1635,1786,598,598,24.4,79
108,"Bio Engineering (4 Years, Bachelor of Technology)",13041,16749,21494,22034,5459,6461,8589,8977,2867,3574,4552,4552,1626,1654,854,854,33.9,69
108,"Chemistry with Specialization (4 Years, Bachelor of Science)",16329,17649,22270,24362,5811,6344,8436,8824,3439,3556,4724,4724,1400,1655,701,701,24.4,69
109,"Computer Science and Engineering (4 Years, Bachelor of Technology)",384,446,645,818,280,354,573,710,258,285,411,466,234,249,360,362,34.1,88
109,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",869,1260,2425,3886,599,884,1474,2129,451,809,1308,1328,392,540,543,543,32,84
109,"Statistics and Data Science (4 Years, Bachelor of Science)",986,1290,3462,4107,840,999,1277,1961,633,655,1193,1193,439,530,562,562,30.7,98
109,"Electrical Engineering (4 Years, Bachelor of Technology)",744,1513,2148,3728,637,952,1381,2023,421,745,912,1462,258,366,659,731,28.7,83
109,"Mechanical Engineering (4 Years, Bachelor of Technology)",1891,3036,6181,7319,1176,1575,2926,4211,798,1066,553,2116,462,557,838,873,33.5,95
109,"Economics (4 Years, Bachelor of Science)",2414,3917,6873,7405,1410,1835,4155,4456,1273,1615,3073,3452,376,1164,1184,1184,33.5,63
109,"Aerospace Engineering (4 Years, Bachelor of Technology)",2466,4147,6294,9059,1853,2278,4447,5231,896,1467,2175,2424,525,818,1422,1422,21.1,79
109,"Chemical Engineering (4 Years, Bachelor of Technology)",3025,4372,6293,8292,1907,2236,3115,4255,899,1167,1763,2173,540,734,1207,1270,32.1,64
109,"Civil Engineering (4 Years, Bachelor of Technology)",5062,6480,9787,13203,2526,3226,5106,6032,1281,1954,2038,2480,711,867,1423,1455,27.8,90
109,"Physics (4 Years, Bachelor of Science)",2824,6181,7470,14048,3258,3903,6368,7041,1918,2408,3298,3298,1365,1537,367,367,24.9,85
109,"Materials Science and Engineering (4 Years, Bachelor of Technology)",4904,7087,11124,11861,2742,3440,4794,5929,1507,2207,3315,3645,1117,1272,1524,1524,28.7,68
109,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",7286,8259,11045,12404,3569,3836,5904,6694,1819,2366,3670,3701,1308,1497,536,536,32.6,81
109,"Earth Sciences (4 Years, Bachelor of Science)",8310,11774,14607,19468,4317,5194,7866,7967,3061,3459,4557,4557,1770,1868,762,762,24.7,66
109,"Chemistry (4 Years, Bachelor of Science)",10237,12036,15293,18796,4284,5468,7862,8126,2737,3105,4135,4280,1706,1755,613,613,24.3,97
